image,ADI,BACK,LYM,STR,DEB,MUC,TUM,MUS,NORM
BACK-FCNDPLTT,0,1,0,0,0,0,0,0,0
DEB-GYAGSASH,0,0,0,0,1,0,0,0,0
STR-ENMVQCLR,0,0,0,1,0,0,0,0,0
ADI-HPVPIWCP,1,0,0,0,0,0,0,0,0
LYM-SWNLARDM,0,0,1,0,0,0,0,0,0
TUM-FHTVKDPN,0,0,0,0,0,0,1,0,0
MUS-VFHAICDQ,0,0,0,0,0,0,0,1,0
MUC-FLTWTGHQ,0,0,0,0,0,1,0,0,0
BACK-EPNPVQSR,0,1,0,0,0,0,0,0,0
DEB-RFEMWWTQ,0,0,0,0,1,0,0,0,0
NORM-KLLIQQWH,0,0,0,0,0,0,0,0,1
TUM-RARTIMTS,0,0,0,0,0,0,1,0,0
MUS-LHYQHRHG,0,0,0,0,0,0,0,1,0
LYM-FDKMSIPN,0,0,1,0,0,0,0,0,0
STR-HANHRKGK,0,0,0,1,0,0,0,0,0
ADI-AMTGANRA,1,0,0,0,0,0,0,0,0
BACK-ACVNCLGC,0,1,0,0,0,0,0,0,0
DEB-HRADDPFE,0,0,0,0,1,0,0,0,0
MUC-SKPMNWYK,0,0,0,0,0,1,0,0,0
TUM-VDFKPSGG,0,0,0,0,0,0,1,0,0
MUS-FRVSTNKV,0,0,0,0,0,0,0,1,0
NORM-ADQNLKLS,0,0,0,0,0,0,0,0,1
LYM-QGWDEWIC,0,0,1,0,0,0,0,0,0
STR-TEVPCDSM,0,0,0,1,0,0,0,0,0
ADI-NYMYIISQ,1,0,0,0,0,0,0,0,0
TUM-INYPPSLQ,0,0,0,0,0,0,1,0,0
MUS-DVFEDEVH,0,0,0,0,0,0,0,1,0
BACK-IATDYRMC,0,1,0,0,0,0,0,0,0
DEB-FANCESKW,0,0,0,0,1,0,0,0,0
LYM-YMNNPSTI,0,0,1,0,0,0,0,0,0
MUC-NKWDDCNI,0,0,0,0,0,1,0,0,0
NORM-LDDVEYLG,0,0,0,0,0,0,0,0,1
STR-ATPNPCWL,0,0,0,1,0,0,0,0,0
ADI-PDVLVNKL,1,0,0,0,0,0,0,0,0
TUM-CRDIDIIG,0,0,0,0,0,0,1,0,0
MUS-ARNQLFIY,0,0,0,0,0,0,0,1,0
BACK-NWSIMVSG,0,1,0,0,0,0,0,0,0
DEB-KTEPGCMS,0,0,0,0,1,0,0,0,0
LYM-KHEKFSIC,0,0,1,0,0,0,0,0,0
TUM-GKMHNNCT,0,0,0,0,0,0,1,0,0
MUS-KPSQQPNE,0,0,0,0,0,0,0,1,0
MUC-FTTSNSDW,0,0,0,0,0,1,0,0,0
NORM-DRQAYKMF,0,0,0,0,0,0,0,0,1
STR-CIWPPTPV,0,0,0,1,0,0,0,0,0
ADI-CPWHESTS,1,0,0,0,0,0,0,0,0
BACK-ACTIDTRL,0,1,0,0,0,0,0,0,0
DEB-IMWTDAAV,0,0,0,0,1,0,0,0,0
LYM-IWNVSNMP,0,0,1,0,0,0,0,0,0
TUM-YVPPYSKN,0,0,0,0,0,0,1,0,0
MUS-FETCGPPF,0,0,0,0,0,0,0,1,0
MUC-HGCFMMRD,0,0,0,0,0,1,0,0,0
NORM-GVSPHLYR,0,0,0,0,0,0,0,0,1
STR-QPFASHSL,0,0,0,1,0,0,0,0,0
ADI-PVFMAEWH,1,0,0,0,0,0,0,0,0
BACK-KSPWMSGV,0,1,0,0,0,0,0,0,0
DEB-RDNRWNNI,0,0,0,0,1,0,0,0,0
LYM-WKADFFQG,0,0,1,0,0,0,0,0,0
TUM-HWMKRDMK,0,0,0,0,0,0,1,0,0
MUS-CGQHWWPE,0,0,0,0,0,0,0,1,0
TUM-CKKRNKDP,0,0,0,0,0,0,1,0,0
MUS-VGLMCGLQ,0,0,0,0,0,0,0,1,0
DEB-WGTPEYCM,0,0,0,0,1,0,0,0,0
STR-CRCMEVIK,0,0,0,1,0,0,0,0,0
LYM-GDPQEFWI,0,0,1,0,0,0,0,0,0
ADI-KTRGGNNE,1,0,0,0,0,0,0,0,0
BACK-LQRKMMHE,0,1,0,0,0,0,0,0,0
MUC-WAVPDILP,0,0,0,0,0,1,0,0,0
NORM-IIWWAIRI,0,0,0,0,0,0,0,0,1
TUM-DVFTRLGE,0,0,0,0,0,0,1,0,0
MUS-TVDTMKFI,0,0,0,0,0,0,0,1,0
DEB-LLRVLMYN,0,0,0,0,1,0,0,0,0
STR-KEEIENPF,0,0,0,1,0,0,0,0,0
LYM-VIFTVRCN,0,0,1,0,0,0,0,0,0
ADI-ADLYQMIS,1,0,0,0,0,0,0,0,0
BACK-HIWQVVTH,0,1,0,0,0,0,0,0,0
TUM-GEASKMGV,0,0,0,0,0,0,1,0,0
MUC-WNQAYCPT,0,0,0,0,0,1,0,0,0
NORM-PKKQVVTY,0,0,0,0,0,0,0,0,1
MUS-VHASKFAV,0,0,0,0,0,0,0,1,0
DEB-TAYVWQAT,0,0,0,0,1,0,0,0,0
STR-GSACHPRV,0,0,0,1,0,0,0,0,0
LYM-GVYWMSMV,0,0,1,0,0,0,0,0,0
ADI-NNTGTAVN,1,0,0,0,0,0,0,0,0
TUM-KIHIFAGS,0,0,0,0,0,0,1,0,0
BACK-PFPDFYVV,0,1,0,0,0,0,0,0,0
MUS-GPEANEAM,0,0,0,0,0,0,0,1,0
MUC-KDYWMFYA,0,0,0,0,0,1,0,0,0
DEB-DHIVQLNI,0,0,0,0,1,0,0,0,0
TUM-VLTEFKPE,0,0,0,0,0,0,1,0,0
NORM-CFFFQKDH,0,0,0,0,0,0,0,0,1
STR-SLGQDCKR,0,0,0,1,0,0,0,0,0
LYM-KSMLAIMN,0,0,1,0,0,0,0,0,0
ADI-GFCYNLAE,1,0,0,0,0,0,0,0,0
MUS-KQLLSFFN,0,0,0,0,0,0,0,1,0
BACK-DKALFSEE,0,1,0,0,0,0,0,0,0
TUM-RCIPDMVL,0,0,0,0,0,0,1,0,0
DEB-EHRFEMWI,0,0,0,0,1,0,0,0,0
MUC-FFGNVHYH,0,0,0,0,0,1,0,0,0
STR-AGERERYV,0,0,0,1,0,0,0,0,0
LYM-NRVMVIAP,0,0,1,0,0,0,0,0,0
ADI-CTGFYHMV,1,0,0,0,0,0,0,0,0
MUS-IWCADWFP,0,0,0,0,0,0,0,1,0
TUM-KHWFTMQV,0,0,0,0,0,0,1,0,0
NORM-MEPDQSLL,0,0,0,0,0,0,0,0,1
BACK-KRASKENN,0,1,0,0,0,0,0,0,0
DEB-NHWWVRYT,0,0,0,0,1,0,0,0,0
MUC-GTMSNKGI,0,0,0,0,0,1,0,0,0
STR-YKWKVGNW,0,0,0,1,0,0,0,0,0
LYM-ILCPRNCS,0,0,1,0,0,0,0,0,0
TUM-CPWWRTTY,0,0,0,0,0,0,1,0,0
MUS-KSHDKIWD,0,0,0,0,0,0,0,1,0
ADI-FQDEYFSV,1,0,0,0,0,0,0,0,0
DEB-GNLSGTIW,0,0,0,0,1,0,0,0,0
BACK-EQLCHWNS,0,1,0,0,0,0,0,0,0
NORM-QISIIPTA,0,0,0,0,0,0,0,0,1
TUM-HCSIKGPA,0,0,0,0,0,0,1,0,0
MUS-HSGCCCDC,0,0,0,0,0,0,0,1,0
STR-MNKIRDIL,0,0,0,1,0,0,0,0,0
LYM-LQWNTYIN,0,0,1,0,0,0,0,0,0
ADI-CIPHYIHI,1,0,0,0,0,0,0,0,0
MUC-RMCHALYV,0,0,0,0,0,1,0,0,0
DEB-AATANHTR,0,0,0,0,1,0,0,0,0
TUM-WNWMFQQS,0,0,0,0,0,0,1,0,0
BACK-KDMCFFTL,0,1,0,0,0,0,0,0,0
MUS-NSTEYTQQ,0,0,0,0,0,0,0,1,0
STR-KYYPWWAE,0,0,0,1,0,0,0,0,0
LYM-FNVANYGW,0,0,1,0,0,0,0,0,0
ADI-FPHFVQVI,1,0,0,0,0,0,0,0,0
NORM-FMRIKRNM,0,0,0,0,0,0,0,0,1
TUM-MCTGYGVI,0,0,0,0,0,0,1,0,0
DEB-EWKRPYQK,0,0,0,0,1,0,0,0,0
MUC-SETLARCE,0,0,0,0,0,1,0,0,0
MUS-NMGQAQCN,0,0,0,0,0,0,0,1,0
BACK-LAGFTEKG,0,1,0,0,0,0,0,0,0
TUM-NLMSYMIP,0,0,0,0,0,0,1,0,0
STR-CCSQGMVP,0,0,0,1,0,0,0,0,0
LYM-QIVYLISK,0,0,1,0,0,0,0,0,0
ADI-LWCNPQFD,1,0,0,0,0,0,0,0,0
DEB-FNADWKCQ,0,0,0,0,1,0,0,0,0
MUS-NRYTCSKF,0,0,0,0,0,0,0,1,0
NORM-YSWMQVYP,0,0,0,0,0,0,0,0,1
MUC-EFNVAGLN,0,0,0,0,0,1,0,0,0
TUM-SQWPYHRG,0,0,0,0,0,0,1,0,0
BACK-GWVMTRTY,0,1,0,0,0,0,0,0,0
STR-DWTGEQNP,0,0,0,1,0,0,0,0,0
LYM-MGTRRGIC,0,0,1,0,0,0,0,0,0
ADI-RHMNFTWM,1,0,0,0,0,0,0,0,0
DEB-VKSPTPVQ,0,0,0,0,1,0,0,0,0
MUS-TEMFTNES,0,0,0,0,0,0,0,1,0
TUM-SRTQQALQ,0,0,0,0,0,0,1,0,0
NORM-LGQFCRHN,0,0,0,0,0,0,0,0,1
MUC-RHALFEQC,0,0,0,0,0,1,0,0,0
BACK-EWWEFEKS,0,1,0,0,0,0,0,0,0
STR-HMIMDYEF,0,0,0,1,0,0,0,0,0
LYM-CKQHIWTM,0,0,1,0,0,0,0,0,0
ADI-HIHFNMMY,1,0,0,0,0,0,0,0,0
DEB-KLFAERYT,0,0,0,0,1,0,0,0,0
MUS-FTKRELHD,0,0,0,0,0,0,0,1,0
TUM-SSQHFQFF,0,0,0,0,0,0,1,0,0
TUM-NEYIFAVC,0,0,0,0,0,0,1,0,0
MUS-DWEATITQ,0,0,0,0,0,0,0,1,0
LYM-GWQHHWPV,0,0,1,0,0,0,0,0,0
DEB-HRHFYTLW,0,0,0,0,1,0,0,0,0
BACK-ALRHWCHC,0,1,0,0,0,0,0,0,0
ADI-NLYQYFVE,1,0,0,0,0,0,0,0,0
STR-DRDQPCCC,0,0,0,1,0,0,0,0,0
MUC-TPSLFMSD,0,0,0,0,0,1,0,0,0
NORM-MVVVWFLW,0,0,0,0,0,0,0,0,1
TUM-RTKFWIEC,0,0,0,0,0,0,1,0,0
MUS-EEKGMIYK,0,0,0,0,0,0,0,1,0
LYM-KWDDNGMW,0,0,1,0,0,0,0,0,0
DEB-DCSLFCYC,0,0,0,0,1,0,0,0,0
BACK-HQAGVQWK,0,1,0,0,0,0,0,0,0
ADI-FPCSSDGG,1,0,0,0,0,0,0,0,0
STR-HTYANNAI,0,0,0,1,0,0,0,0,0
MUC-SMRERHSC,0,0,0,0,0,1,0,0,0
TUM-AVWIDPWK,0,0,0,0,0,0,1,0,0
NORM-ANNHSCDQ,0,0,0,0,0,0,0,0,1
MUS-KVPREDAK,0,0,0,0,0,0,0,1,0
LYM-GYEDFANN,0,0,1,0,0,0,0,0,0
DEB-SYCWQITK,0,0,0,0,1,0,0,0,0
BACK-CSDHWIGF,0,1,0,0,0,0,0,0,0
ADI-DQNKPAWF,1,0,0,0,0,0,0,0,0
STR-CLGEGGGP,0,0,0,1,0,0,0,0,0
TUM-FHKECDVN,0,0,0,0,0,0,1,0,0
MUS-RIQLNYIK,0,0,0,0,0,0,0,1,0
MUC-DSDKFDAY,0,0,0,0,0,1,0,0,0
NORM-ADEQFCTF,0,0,0,0,0,0,0,0,1
LYM-CKMHLCAF,0,0,1,0,0,0,0,0,0
DEB-WTYAMVIR,0,0,0,0,1,0,0,0,0
TUM-TEAIIHYL,0,0,0,0,0,0,1,0,0
MUS-KEIAMQGS,0,0,0,0,0,0,0,1,0
BACK-KHKSKIAC,0,1,0,0,0,0,0,0,0
ADI-DFDRSEDY,1,0,0,0,0,0,0,0,0
STR-EAMSIYQM,0,0,0,1,0,0,0,0,0
LYM-QADFSPWA,0,0,1,0,0,0,0,0,0
TUM-FPTPNNTC,0,0,0,0,0,0,1,0,0
DEB-NKNCDNNY,0,0,0,0,1,0,0,0,0
MUC-KMDPNKGI,0,0,0,0,0,1,0,0,0
NORM-SYTPWIIK,0,0,0,0,0,0,0,0,1
MUS-HLDSVRYH,0,0,0,0,0,0,0,1,0
BACK-CKFFVKFD,0,1,0,0,0,0,0,0,0
ADI-DAHQDKPP,1,0,0,0,0,0,0,0,0
STR-YGIWGAHK,0,0,0,1,0,0,0,0,0
TUM-GCRLTQGD,0,0,0,0,0,0,1,0,0
LYM-KRTMNHKN,0,0,1,0,0,0,0,0,0
MUS-IFQYMGFI,0,0,0,0,0,0,0,1,0
DEB-MTIQERQH,0,0,0,0,1,0,0,0,0
MUC-PGWGKEGY,0,0,0,0,0,1,0,0,0
NORM-EYIHAPWR,0,0,0,0,0,0,0,0,1
BACK-NHWFGAGA,0,1,0,0,0,0,0,0,0
TUM-VVHIYCTA,0,0,0,0,0,0,1,0,0
ADI-RAFVWCEL,1,0,0,0,0,0,0,0,0
STR-IEYITKIN,0,0,0,1,0,0,0,0,0
MUS-ILEECNKC,0,0,0,0,0,0,0,1,0
LYM-GIAHTDMN,0,0,1,0,0,0,0,0,0
DEB-HMVSRRWD,0,0,0,0,1,0,0,0,0
TUM-SDLMYNFA,0,0,0,0,0,0,1,0,0
BACK-KIMRNLIQ,0,1,0,0,0,0,0,0,0
ADI-FILRSDKC,1,0,0,0,0,0,0,0,0
STR-HAGTVDSK,0,0,0,1,0,0,0,0,0
MUS-RIITGKCH,0,0,0,0,0,0,0,1,0
MUC-TYQFFWAV,0,0,0,0,0,1,0,0,0
NORM-VGHGSYIS,0,0,0,0,0,0,0,0,1
LYM-ITDAEQPR,0,0,1,0,0,0,0,0,0
DEB-GHSQRGVY,0,0,0,0,1,0,0,0,0
TUM-MEWCHDRH,0,0,0,0,0,0,1,0,0
MUS-MKSYNMGE,0,0,0,0,0,0,0,1,0
BACK-FQEKIWVC,0,1,0,0,0,0,0,0,0
ADI-QYIVRMAQ,1,0,0,0,0,0,0,0,0
STR-QRDMKCYG,0,0,0,1,0,0,0,0,0
LYM-GPDAKCDP,0,0,1,0,0,0,0,0,0
TUM-PEHAIMYF,0,0,0,0,0,0,1,0,0
DEB-FYMGPVAR,0,0,0,0,1,0,0,0,0
MUC-AEQTPCRR,0,0,0,0,0,1,0,0,0
NORM-HMDEMHSS,0,0,0,0,0,0,0,0,1
MUS-TMPEQLKE,0,0,0,0,0,0,0,1,0
TUM-WEYAGKQR,0,0,0,0,0,0,1,0,0
BACK-NTASDYTM,0,1,0,0,0,0,0,0,0
ADI-MWFFKCTA,1,0,0,0,0,0,0,0,0
LYM-ANGVYMLD,0,0,1,0,0,0,0,0,0
STR-HWMENPTA,0,0,0,1,0,0,0,0,0
DEB-GCDHCHLE,0,0,0,0,1,0,0,0,0
MUS-PTTLAMPF,0,0,0,0,0,0,0,1,0
MUC-WTGTNSRL,0,0,0,0,0,1,0,0,0
NORM-DIGSQPAI,0,0,0,0,0,0,0,0,1
TUM-VGYQAKSC,0,0,0,0,0,0,1,0,0
LYM-IRAIPIRT,0,0,1,0,0,0,0,0,0
BACK-NRSPHLMQ,0,1,0,0,0,0,0,0,0
ADI-EEKWDFYD,1,0,0,0,0,0,0,0,0
STR-SKDPFMRF,0,0,0,1,0,0,0,0,0
DEB-VYRVYSSW,0,0,0,0,1,0,0,0,0
MUS-HGICIETG,0,0,0,0,0,0,0,1,0
TUM-SPCQSDAT,0,0,0,0,0,0,1,0,0
MUC-GSIPYLTD,0,0,0,0,0,1,0,0,0
NORM-QSYWAQVD,0,0,0,0,0,0,0,0,1
LYM-VWYIMWME,0,0,1,0,0,0,0,0,0
MUS-TPRMCYKQ,0,0,0,0,0,0,0,1,0
DEB-AIIIAVGQ,0,0,0,0,1,0,0,0,0
BACK-NAYRYIDM,0,1,0,0,0,0,0,0,0
ADI-AEWEIYAM,1,0,0,0,0,0,0,0,0
TUM-RIHPFVES,0,0,0,0,0,0,1,0,0
STR-YWRTMHVA,0,0,0,1,0,0,0,0,0
MUS-QAKNFWWR,0,0,0,0,0,0,0,1,0
LYM-WDREADDP,0,0,1,0,0,0,0,0,0
MUC-YKWSNGFG,0,0,0,0,0,1,0,0,0
TUM-NQDMSWPM,0,0,0,0,0,0,1,0,0
NORM-IHFTKPVD,0,0,0,0,0,0,0,0,1
DEB-MDIATWRQ,0,0,0,0,1,0,0,0,0
BACK-NGSDYGNV,0,1,0,0,0,0,0,0,0
ADI-PAEHDHSR,1,0,0,0,0,0,0,0,0
STR-MYPFWGHE,0,0,0,1,0,0,0,0,0
MUS-GTHYVKEN,0,0,0,0,0,0,0,1,0
TUM-RCTKEMYT,0,0,0,0,0,0,1,0,0
LYM-WVCNPSLP,0,0,1,0,0,0,0,0,0
DEB-CQSMPMVV,0,0,0,0,1,0,0,0,0
BACK-ASNSYGSS,0,1,0,0,0,0,0,0,0
ADI-FCPSLDCD,1,0,0,0,0,0,0,0,0
MUC-NNTNWIHF,0,0,0,0,0,1,0,0,0
STR-ADLYGWIL,0,0,0,1,0,0,0,0,0
NORM-DFVWAQIK,0,0,0,0,0,0,0,0,1
MUS-NCETFSTE,0,0,0,0,0,0,0,1,0
TUM-PYADYGLE,0,0,0,0,0,0,1,0,0
LYM-YYNKAIEC,0,0,1,0,0,0,0,0,0
DEB-YRLGACVY,0,0,0,0,1,0,0,0,0
BACK-GYRTHYRE,0,1,0,0,0,0,0,0,0
ADI-AMYLDMFV,1,0,0,0,0,0,0,0,0
MUS-HIIRWIIQ,0,0,0,0,0,0,0,1,0
TUM-REMWTLGW,0,0,0,0,0,0,1,0,0
STR-HCVGIHEK,0,0,0,1,0,0,0,0,0
MUC-RMAVIYGA,0,0,0,0,0,1,0,0,0
NORM-EFNNDYPW,0,0,0,0,0,0,0,0,1
LYM-KQIIRMNE,0,0,1,0,0,0,0,0,0
DEB-TLQICAQP,0,0,0,0,1,0,0,0,0
TUM-NPKVCINV,0,0,0,0,0,0,1,0,0
MUS-IRVSSLRP,0,0,0,0,0,0,0,1,0
BACK-ATSLATTG,0,1,0,0,0,0,0,0,0
ADI-PYFRNSAT,1,0,0,0,0,0,0,0,0
STR-TQKHIFID,0,0,0,1,0,0,0,0,0
LYM-WMEPNTDR,0,0,1,0,0,0,0,0,0
MUC-QTFNENMS,0,0,0,0,0,1,0,0,0
NORM-DHLTVRHS,0,0,0,0,0,0,0,0,1
TUM-GPDYNQMN,0,0,0,0,0,0,1,0,0
MUS-LQLMQMDF,0,0,0,0,0,0,0,1,0
DEB-PFQQYCSC,0,0,0,0,1,0,0,0,0
BACK-FFEYHYYS,0,1,0,0,0,0,0,0,0
ADI-LFHVGVKG,1,0,0,0,0,0,0,0,0
STR-ADPASHIT,0,0,0,1,0,0,0,0,0
TUM-DDVDQTCS,0,0,0,0,0,0,1,0,0
LYM-WPAQKYCY,0,0,1,0,0,0,0,0,0
MUS-KVFWMPGE,0,0,0,0,0,0,0,1,0
DEB-VQVSVNVR,0,0,0,0,1,0,0,0,0
MUC-RPTTPNKE,0,0,0,0,0,1,0,0,0
NORM-KGNWLQIL,0,0,0,0,0,0,0,0,1
BACK-KFFMEVYN,0,1,0,0,0,0,0,0,0
TUM-SFGHENQS,0,0,0,0,0,0,1,0,0
ADI-KYFHVCCH,1,0,0,0,0,0,0,0,0
MUS-RGATKFWP,0,0,0,0,0,0,0,1,0
LYM-QIKQSRCV,0,0,1,0,0,0,0,0,0
STR-HIFCNQHC,0,0,0,1,0,0,0,0,0
DEB-TQTWGQPE,0,0,0,0,1,0,0,0,0
TUM-QIHCGLTC,0,0,0,0,0,0,1,0,0
MUC-CYGYTCSD,0,0,0,0,0,1,0,0,0
NORM-LRDANVNY,0,0,0,0,0,0,0,0,1
MUS-CSWFYIKC,0,0,0,0,0,0,0,1,0
BACK-EKDVCRRV,0,1,0,0,0,0,0,0,0
ADI-NSIMHKLM,1,0,0,0,0,0,0,0,0
LYM-IMPSCVDG,0,0,1,0,0,0,0,0,0
STR-REGRSIII,0,0,0,1,0,0,0,0,0
DEB-NPSVNRQC,0,0,0,0,1,0,0,0,0
TUM-HDKELREY,0,0,0,0,0,0,1,0,0
MUS-HPYRGEMY,0,0,0,0,0,0,0,1,0
LYM-IGCISTFG,0,0,1,0,0,0,0,0,0
BACK-FMKNGAEG,0,1,0,0,0,0,0,0,0
ADI-IMCVSGQW,1,0,0,0,0,0,0,0,0
MUC-TQYCHWCF,0,0,0,0,0,1,0,0,0
NORM-IYHTKHCE,0,0,0,0,0,0,0,0,1
TUM-RPLECCPE,0,0,0,0,0,0,1,0,0
STR-QTHDEQGP,0,0,0,1,0,0,0,0,0
DEB-RKSQTIVY,0,0,0,0,1,0,0,0,0
MUS-CPWDERFH,0,0,0,0,0,0,0,1,0
LYM-LCKRPYVP,0,0,1,0,0,0,0,0,0
TUM-EVEINHGP,0,0,0,0,0,0,1,0,0
BACK-HQWQNKIL,0,1,0,0,0,0,0,0,0
ADI-CRARWWQI,1,0,0,0,0,0,0,0,0
DEB-GYVGIERM,0,0,0,0,1,0,0,0,0
STR-QVLIGPID,0,0,0,1,0,0,0,0,0
MUS-LTFEWRNI,0,0,0,0,0,0,0,1,0
MUC-QDHSLSIF,0,0,0,0,0,1,0,0,0
NORM-HFEGQYFL,0,0,0,0,0,0,0,0,1
TUM-EGFITMKQ,0,0,0,0,0,0,1,0,0
LYM-QVAVHLFG,0,0,1,0,0,0,0,0,0
BACK-IILQDHMW,0,1,0,0,0,0,0,0,0
MUS-HWGLDWIH,0,0,0,0,0,0,0,1,0
ADI-KNPPRLDD,1,0,0,0,0,0,0,0,0
DEB-CKNAMAAK,0,0,0,0,1,0,0,0,0
STR-SNTLYRAV,0,0,0,1,0,0,0,0,0
TUM-EESKHGTV,0,0,0,0,0,0,1,0,0
MUC-DYLFNEEQ,0,0,0,0,0,1,0,0,0
NORM-DAKVAPGC,0,0,0,0,0,0,0,0,1
LYM-HGEMLPFA,0,0,1,0,0,0,0,0,0
MUS-LYFGGYVN,0,0,0,0,0,0,0,1,0
DEB-NDEEIISG,0,0,0,0,1,0,0,0,0
BACK-HWRSFTKG,0,1,0,0,0,0,0,0,0
ADI-NKRQIMYC,1,0,0,0,0,0,0,0,0
TUM-PHDTTPMG,0,0,0,0,0,0,1,0,0
STR-DCEMEYPL,0,0,0,1,0,0,0,0,0
MUS-ARFAKIYF,0,0,0,0,0,0,0,1,0
LYM-EHECIRMS,0,0,1,0,0,0,0,0,0
MUC-FRQFIERY,0,0,0,0,0,1,0,0,0
NORM-AGPAYNWT,0,0,0,0,0,0,0,0,1
TUM-WFIGYFHE,0,0,0,0,0,0,1,0,0
DEB-SGCQCKEW,0,0,0,0,1,0,0,0,0
BACK-MFWVPECA,0,1,0,0,0,0,0,0,0
ADI-CMINRPCP,1,0,0,0,0,0,0,0,0
STR-SLHVKAEK,0,0,0,1,0,0,0,0,0
MUS-TTVEVSKC,0,0,0,0,0,0,0,1,0
LYM-ESGEAQFC,0,0,1,0,0,0,0,0,0
TUM-FNKTPHGS,0,0,0,0,0,0,1,0,0
DEB-VFFYAMHF,0,0,0,0,1,0,0,0,0
MUC-ICQEMVWI,0,0,0,0,0,1,0,0,0
NORM-VDCGQTYP,0,0,0,0,0,0,0,0,1
BACK-KYLSPFCP,0,1,0,0,0,0,0,0,0
ADI-QRVVGISS,1,0,0,0,0,0,0,0,0
MUS-AYRHRCRW,0,0,0,0,0,0,0,1,0
STR-RYHTCLVF,0,0,0,1,0,0,0,0,0
TUM-DVRMNRNA,0,0,0,0,0,0,1,0,0
LYM-CYWYILMH,0,0,1,0,0,0,0,0,0
DEB-HFLKFQCA,0,0,0,0,1,0,0,0,0
MUS-TLVAMQTA,0,0,0,0,0,0,0,1,0
BACK-ENCKFYWV,0,1,0,0,0,0,0,0,0
ADI-LLNMEVVY,1,0,0,0,0,0,0,0,0
TUM-DLGHKMCC,0,0,0,0,0,0,1,0,0
MUC-LTNQWIWG,0,0,0,0,0,1,0,0,0
NORM-CIGSAEEW,0,0,0,0,0,0,0,0,1
STR-TAQNMDMY,0,0,0,1,0,0,0,0,0
LYM-QCPLNEYF,0,0,1,0,0,0,0,0,0
DEB-GYMWEILW,0,0,0,0,1,0,0,0,0
MUS-DHECFVFG,0,0,0,0,0,0,0,1,0
TUM-TQCRCTNH,0,0,0,0,0,0,1,0,0
BACK-CPGGKWHD,0,1,0,0,0,0,0,0,0
ADI-HDSWQRTM,1,0,0,0,0,0,0,0,0
LYM-DLIEWQAT,0,0,1,0,0,0,0,0,0
STR-LIQPPVYV,0,0,0,1,0,0,0,0,0
MUC-PMKLNDEI,0,0,0,0,0,1,0,0,0
NORM-HEGQLKFY,0,0,0,0,0,0,0,0,1
MUS-KPWLNIKR,0,0,0,0,0,0,0,1,0
TUM-DGCQTCSI,0,0,0,0,0,0,1,0,0
DEB-QLKSQMQH,0,0,0,0,1,0,0,0,0
BACK-LLDCMECQ,0,1,0,0,0,0,0,0,0
ADI-KWGHSHLD,1,0,0,0,0,0,0,0,0
LYM-CCKHFSEW,0,0,1,0,0,0,0,0,0
